Name,Image URL / Path,UPC,Accuracy
Lay's Sour Cream & Onion Potato Chips,imgs/1.jpeg,,
Lay's Lightly Salted Potato Chips,imgs/2.jpeg,,
Ruffles Lightly Salted Chips,imgs/3.jpeg,,
Lay's Barbecue Flavor Potato Chips,imgs/4.jpeg,,
Ruffles Sour Cream & Onion Chips,imgs/5.jpeg,,
Lay's Salt & Vinegar Potato Chips,imgs/6.jpeg,,
Lay's Magic Masala Potato Chips,imgs/7.jpeg,,
Ruffles Sour Cream & Bacon Flavored Potato Chips,imgs/8.jpeg,,
Ruffles Cheddar & Sour Cream Chip,imgs/9.jpeg,,
Ruffles Sour Cream & Onion Chips,imgs/10.jpeg,,
